Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Plano,"-8,3771012885608","-17,8787342671875","0,154574729765122",0,0,0,"105773,496434206","4345973,25056542","-517592,207533352","3,53223562229851E-11","3034064,33966892","2,66785595039706E-10","7377549,61887828",0,0,0,0,0,0,package://Plano_completo/meshes/Plano.STL,1,1,1,1,0,0,0,0,0,0,package://Plano_completo/meshes/Plano.STL,,PLANO_POSGRADO_Corregido_piso-1;PLANO_POSGRADO_Corregido_piso_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Paredes,"-8,33486592764714","1,62","17,2787605001807",0,0,0,"106998,234725186","1884398,41780361","1,24386270804838E-10","-46224,2076186336","2975088,2144271","1,60611129058795E-10","1251187,14871118",0,0,0,0,0,0,package://Plano_completo/meshes/Paredes.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_completo/meshes/Paredes.STL,,PLANO_POSGRADO_Corregido_paredes-1,Origin_paredes2,Axis_paredes,paredes,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
Mural,"-8,9133737468096","1,62","20,7325397890786",0,0,0,"5471,98532264628","4114,24896446467","-7,20014707628193E-13","8,82258437282567E-14","67436,431005008","-1,12502298066905E-14","71530,1600245127",0,0,0,0,0,0,package://Plano_completo/meshes/Mural.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_completo/meshes/Mural.STL,,PLANO_POSGRADO_Corregido_mural-5,Origin_mural,Axis_mural,mural,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
